,Unnamed: 0,week,arrest,fin,age,race,wexp,mar,paro,prio
0,0,20,0.0,0,27,1,0,0,1,3
1,1,17,0.0,0,18,1,0,0,1,8
2,2,25,0.0,0,19,0,1,0,1,13
3,3,52,1.0,1,23,1,1,1,1,1
4,4,52,1.0,0,19,0,1,0,1,3
5,5,52,1.0,0,24,1,1,0,0,2
6,6,23,0.0,0,25,1,1,1,1,0
7,7,52,1.0,1,21,1,1,0,1,4
8,8,52,1.0,0,22,1,0,0,0,6
9,9,52,1.0,0,20,1,1,0,0,0
10,10,52,1.0,1,26,1,0,0,1,3
11,11,52,1.0,0,40,1,1,0,0,2
12,12,37,0.0,0,17,1,1,0,1,5
13,13,52,1.0,0,37,1,1,0,0,2
14,14,25,0.0,0,20,1,0,0,1,3
15,15,46,0.0,1,22,1,1,0,1,2
16,16,28,0.0,0,19,1,0,0,0,7
17,17,52,1.0,0,20,1,0,0,0,2
18,18,52,1.0,0,25,1,0,0,1,12
19,19,52,1.0,0,24,0,1,0,1,1
20,20,52,1.0,0,23,1,0,0,1,4
21,21,52,1.0,1,44,1,1,1,1,0
22,22,24,0.0,1,29,1,1,0,1,2
23,23,52,1.0,1,28,0,1,0,1,1
24,24,52,1.0,1,21,1,1,0,0,0
25,25,52,1.0,1,19,1,1,0,1,2
26,26,52,1.0,0,33,1,1,0,1,1
27,27,52,1.0,0,19,1,0,0,0,2
28,28,52,1.0,1,19,1,0,0,1,3
29,29,52,1.0,1,23,1,1,1,1,9
30,30,52,1.0,1,23,1,0,0,1,3
31,31,52,1.0,1,19,1,0,0,1,1
32,32,52,1.0,1,42,1,1,0,0,0
33,33,52,1.0,0,23,1,1,1,0,2
34,34,52,1.0,0,24,1,1,0,0,3
35,35,50,0.0,1,20,1,1,0,1,2
36,36,52,1.0,0,22,1,1,0,1,5
37,37,52,1.0,0,27,1,1,0,0,2
38,38,52,1.0,1,19,1,0,0,0,4
39,39,52,1.0,0,28,1,1,0,1,3
40,40,52,1.0,1,33,1,1,1,0,9
41,41,52,1.0,0,24,1,1,0,1,1
42,42,10,0.0,0,21,1,0,0,1,14
43,43,52,1.0,0,22,1,0,0,1,2
44,44,52,1.0,1,19,1,0,0,1,2
45,45,52,1.0,1,22,1,0,0,0,2
46,46,52,1.0,1,22,1,0,0,0,15
47,47,20,0.0,1,23,1,1,0,1,5
48,48,52,1.0,0,32,1,1,1,1,2
49,49,52,1.0,1,27,1,1,0,1,0
50,50,52,1.0,1,36,1,1,0,0,0
51,51,52,1.0,1,22,1,1,0,1,1
52,52,52,1.0,1,32,1,1,0,1,1
53,53,50,0.0,1,19,1,1,0,0,10
54,54,52,1.0,0,28,1,1,1,1,1
55,55,52,1.0,0,32,0,1,0,0,3
56,56,52,1.0,0,33,1,1,1,1,1
